Event Key,Lane,Path,Communication Event,Trigger,Template Key,Channel Type,Post Mode,Anchor Update Policy,Thread Reply Policy,Reply Broadcast,Send Rule,Severity,Active
stray.submitted,Stray Story,Start,Stray story submitted,Story enters intake outside project bug or release flow,stray-story-disposition,Stray Story,New Thread,Create Anchor Only,Always Reply,FALSE,Log only,Low,TRUE
stray.weekly_summary,Stray Story,Heartbeat,Weekly prioritization summary,Weekly prioritization meeting completes,stray-story-disposition,Stray Story,New Thread,Create Anchor Only,Always Reply,FALSE,Review then send,Low,TRUE
stray.disposition_changed,Stray Story,Outcome,Disposition changed,Story disposition changes after intake review,stray-story-disposition,Stray Story,Reply In Thread,Keep Anchor,Always Reply,FALSE,Auto-send eligible,Low,TRUE
stray.exited_intake,Stray Story,End / Transition,Stray story exited intake,Story leaves stray-story intake for any destination,stray-story-disposition,Stray Story,Reply In Thread,Keep Anchor,Always Reply,FALSE,Send or log based on destination and impact,Low,TRUE
release.scheduled,Production Release,Start,Release scheduled,Release receives planned production schedule,release-scheduled,Release,New Thread,Create And Update Anchor,Always Reply,FALSE,Review then send,Medium,TRUE
release.go_no_go,Production Release,Happy Path,Go / no-go approaching,Release decision window opens,release-go-no-go,Release,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Approval required,High,TRUE
release.started,Production Release,Happy Path,Release started,Production release begins,release-started,Release,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Auto-send eligible,Medium,TRUE
release.completed,Production Release,Happy Path,Release completed,Production release completes successfully,release-completed,Release,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Review then send,Medium,TRUE
release.delayed,Production Release,Sad Path,Release delayed,Release schedule decision or execution timing changes materially,release-delayed,Release,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Approval required,High,TRUE
release.rollback_evaluating,Production Release,Sad Path,Rollback being evaluated,A production concern may require rollback; decision is not final yet,release-rollback-evaluating,Release,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Approval required,Critical,TRUE
release.rollback_decision,Production Release,Sad Path,Rollback decision made,Release owner confirms whether to continue pause delay or roll back,release-rollback-decision,Release,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Approval required,Critical,TRUE
release.rolled_back,Production Release,Sad Path,Release rolled back,Release is fully or partially rolled back,release-rolled-back,Release,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Approval required,Critical,TRUE
release.postmortem_needed,Production Release,Sad Path,Postmortem required,Rollback critical bug failed release decision or material issue requires root cause review,release-postmortem-needed,Leadership,Reply In Thread,Create And Update Anchor,Always Reply,TRUE,Review then send,High,TRUE
